"qb","school","bin","epa","cpoe","passes"
"107","Alessio Milivojevic","Michigan State","SL",2.61525565385818,0.0593219484601722,14
"108","Alessio Milivojevic","Michigan State","SR",12.6783058047295,14.5440926309675,16
"109","Alex Manske","Penn State","BL",-0.449803113937378,9.3658447265625,1
"110","Alex Manske","Penn State","BR",0.126780271530151,12.286764383316,2
"111","Alex Manske","Penn State","DL",0.909976959228516,55.0186395645142,1
"112","Alex Manske","Penn State","DR",0.917606353759766,20.9612265229225,2
"113","Alex Manske","Penn State","SC",-0.647079110145569,-18.0249065160751,2
"114","Alex Manske","Penn State","SR",-0.182058811187744,-2.78040394186974,6
"115","Alex Orji","UNLV","DR",-0.567321538925171,-28.478816151619,1
"116","Alex Orji","UNLV","SC",-2.00105333328247,-62.594211101532,1
"117","Alex Orji","UNLV","SL",-0.602920591831207,-7.8407496213913,1
"118","Alex Orji","UNLV","SR",1.75731492042542,24.946928024292,1
"119","Alonza Barnett","UCF","BC",-1.52130520343781,-83.212798833847,2
"120","Alonza Barnett","UCF","BL",-1.54096913337708,10.708874464035,3
"121","Alonza Barnett","UCF","BR",-2.16839021444321,-54.0620903174082,3
"122","Alonza Barnett","UCF","DC",-0.506089687347412,-50.4360973834991,1
"123","Alonza Barnett","UCF","DL",-2.5324432849884,-24.2716509848833,2
"124","Alonza Barnett","UCF","DR",6.03941535949707,49.7179061174393,2
"125","Alonza Barnett","UCF","MC",5.39390301704407,12.2467279434204,4
"126","Alonza Barnett","UCF","MR",-1.24470889568329,-26.1124392350515,3
"127","Alonza Barnett","UCF","SC",1.6255030632019,30.5130630731583,2
"128","Alonza Barnett","UCF","SL",-0.550472885370255,-4.875648021698,13
"129","Alonza Barnett","UCF","SR",-1.73091608285904,14.9266457806031,12
"130","Amari Odom","Syracuse","BC",-0.811903953552246,14.123010635376,1
"131","Amari Odom","Syracuse","BL",-1.2140576839447,14.2415344715118,2
"132","Amari Odom","Syracuse","BR",-0.0244008302688599,12.8716289997101,1
"133","Amari Odom","Syracuse","DC",2.41904544830322,45.048588514328,1
"134","Amari Odom","Syracuse","SC",0.844408988952637,25.8283257484436,2
"135","Amari Odom","Syracuse","SR",-0.355555057525635,-56.8300604820251,1
"136","Angel Flores","Central Michigan","BL",-0.0614635944366455,11.2644910812378,1
"137","Angel Flores","Central Michigan","BR",0.65127420425415,10.5025138173785,7
"138","Angel Flores","Central Michigan","DC",-0.71383547782898,-50.843071937561,1
"139","Angel Flores","Central Michigan","DL",-1.41744875907898,-33.6987763643265,1
"140","Angel Flores","Central Michigan","MC",0.358495473861694,-16.1718726158142,2
"141","Angel Flores","Central Michigan","MR",-1.99336922168732,-7.38505423069,2
"142","Angel Flores","Central Michigan","SC",4.19473719596863,56.9826807826757,2
"143","Angel Flores","Central Michigan","SL",0.220264434814453,-36.8175327777863,3
"144","Angel Flores","Central Michigan","SR",-0.863917469978333,-0.72486400604248,5
"145","Anthony Colandrea","Nebraska","BC",2.11966514587402,12.0826214551926,2
"146","Anthony Colandrea","Nebraska","BL",0.744632601737976,8.13708355029424,6
"147","Anthony Colandrea","Nebraska","BR",2.72877475619316,-21.7926624541481,12
"148","Anthony Colandrea","Nebraska","DC",1.01288175582886,-2.24034587542216,3
"149","Anthony Colandrea","Nebraska","DL",8.11443734169006,44.7831194847822,4
"150","Anthony Colandrea","Nebraska","DR",1.71568834781647,3.38187962770462,4
"151","Anthony Colandrea","Nebraska","MC",-0.889614343643188,-65.2974009513855,2
"152","Anthony Colandrea","Nebraska","ML",3.11205577850342,45.8280146121979,1
"153","Anthony Colandrea","Nebraska","MR",3.72367519140244,0.735784694552422,8
"154","Anthony Colandrea","Nebraska","SC",6.68564257025719,-1.58519844214121,6
"155","Anthony Colandrea","Nebraska","SL",6.26138919591904,5.73083207011223,20
"156","Anthony Colandrea","Nebraska","SR",3.62353307008743,16.0422079265118,8
"157","Anthony Colandrea","Nebraska",NA,3.0657012462616,11.189192533493,1
"158","Arch Manning","Texas","BL",-6.67069840431213,-15.8473891516527,15
"159","Arch Manning","Texas","BR",-4.85417473316193,-7.52157948233864,11
"160","Arch Manning","Texas","DC",1.30175948143005,-13.5531365871429,3
"161","Arch Manning","Texas","DL",6.3845174908638,25.5153129498164,3
"162","Arch Manning","Texas","DR",1.89069890975952,12.6696228981018,2
"163","Arch Manning","Texas","MC",10.8472096920013,13.1358377635479,8
"164","Arch Manning","Texas","ML",-2.80628353357315,-24.666072262658,9
"165","Arch Manning","Texas","MR",-3.03778898715973,-20.3760361032827,7
"166","Arch Manning","Texas","SC",2.495236992836,-7.55925281689717,13
"167","Arch Manning","Texas","SL",14.2336409687996,21.9549735387166,12
"168","Arch Manning","Texas","SR",6.2772713303566,-7.41698493560155,12
"169","Arrington Maiden","James Madison","BL",0.395305156707764,22.5881218910217,1
"170","Arrington Maiden","James Madison","BR",0.710609197616577,11.1035645008087,1
"171","Arrington Maiden","James Madison","DC",7.41681003570557,55.9258446097374,2
"172","Arrington Maiden","James Madison","MR",-0.437885284423828,-7.89035856723785,1
"173","Arrington Maiden","James Madison","SL",-0.946092844009399,27.0489394664764,1
"174","Arrington Maiden","James Madison","SR",0.18782639503479,27.5436103343964,2
"175","Ashton Daniels","Florida State","BC",-0.261104226112366,9.90601480007172,2
"176","Ashton Daniels","Florida State","BL",-4.26735585927963,6.99077874422073,5
"177","Ashton Daniels","Florida State","BR",10.690896987915,5.57686729090554,7
"178","Ashton Daniels","Florida State","DC",4.36797285079956,58.780437707901,1
"179","Ashton Daniels","Florida State","DL",4.59848582744598,28.2209267218908,3
"180","Ashton Daniels","Florida State","DR",6.81581562757492,27.1169510483742,5
"181","Ashton Daniels","Florida State","MC",11.680032491684,20.5209927899497,7
"182","Ashton Daniels","Florida State","ML",-1.49345874786377,-6.2287325039506,2
"183","Ashton Daniels","Florida State","MR",3.20736354589462,3.98483853787184,4
"184","Ashton Daniels","Florida State","SC",4.3928684592247,27.2735834121704,5
"185","Ashton Daniels","Florida State","SL",-4.0767068862915,-49.3110696474711,3
"186","Ashton Daniels","Florida State","SR",2.45848578214645,1.46770132705569,8
"187","Austin Carlisle","Louisiana Monroe","BC",0.23291540145874,11.440896987915,1
"188","Austin Carlisle","Louisiana Monroe","BL",-1.02425074577332,12.1631279587746,4
"189","Austin Carlisle","Louisiana Monroe","BR",9.01547986268997,2.84276869561937,9
"190","Austin Carlisle","Louisiana Monroe","DC",1.1792938709259,23.4295405447483,2
"191","Austin Carlisle","Louisiana Monroe","MC",4.77059721946716,10.18921037515,3
"192","Austin Carlisle","Louisiana Monroe","MR",0.233010858297348,-25.8942147095998,3
"193","Austin Carlisle","Louisiana Monroe","SC",-0.0760835409164429,-20.7310646772385,4
"194","Austin Carlisle","Louisiana Monroe","SL",6.02314653992653,18.9668387174606,10
"195","Austin Carlisle","Louisiana Monroe","SR",-1.22902205586433,-17.1729339794679,11
"196","Austin Carlisle","Louisiana Monroe",NA,-1.29676365852356,-70.5556333065033,1
"197","Austin Novosad","Bowling Green","BR",-1.34542965888977,14.7814273834229,1
"198","Austin Novosad","Bowling Green","ML",-1.89423775672913,-7.20354616641998,1
"199","Austin Novosad","Bowling Green","MR",-0.497872829437256,-7.32248350977898,1
"200","Austin Novosad","Bowling Green","SL",-2.18938040733337,-74.7086703777313,2
"201","Austin Simmons","Missouri","BC",-1.69837152957916,10.6271922588348,2
"202","Austin Simmons","Missouri","BL",-4.47468781471252,9.8788062731425,3
"203","Austin Simmons","Missouri","BR",-1.61898881196976,11.4167964458466,5
"204","Austin Simmons","Missouri","DC",-0.804107308387756,-28.6694491902987,6
"205","Austin Simmons","Missouri","DL",4.25512957572937,49.271081884702,3
"206","Austin Simmons","Missouri","DR",-0.970411539077759,-39.5732879638672,1
"207","Austin Simmons","Missouri","MC",15.5967240333557,11.554878950119,10
"208","Austin Simmons","Missouri","ML",5.1957106590271,4.52200993895531,8
"209","Austin Simmons","Missouri","MR",-3.84283971786499,11.1352761586507,3
"210","Austin Simmons","Missouri","SC",-1.34148764610291,-57.3501110076904,1
"211","Austin Simmons","Missouri","SL",4.61259049922228,-11.3456010818481,15
"212","Austin Simmons","Missouri","SR",9.94221391528845,25.0463588370217,9
"213","Avery Johnson","Kansas State","BC",2.62544512748718,10.7065796852112,1
"214","Avery Johnson","Kansas State","BL",2.37844696640968,10.5162401994069,6
"215","Avery Johnson","Kansas State","BR",2.95153391361237,10.4778707027435,7
"216","Avery Johnson","Kansas State","DC",1.11360955238342,-4.42250370979309,2
"217","Avery Johnson","Kansas State","DL",-0.852763533592224,-41.2296056747437,2
"218","Avery Johnson","Kansas State","DR",-2.63356900215149,-25.9803669793265,7
"219","Avery Johnson","Kansas State","MC",1.16712552309036,-2.04069217046102,3
"220","Avery Johnson","Kansas State","ML",11.0403184890747,16.4010662585497,8
"221","Avery Johnson","Kansas State","MR",2.64533841609955,-10.958576798439,10
"222","Avery Johnson","Kansas State","SC",13.3581472635269,24.350973367691,10
"223","Avery Johnson","Kansas State","SL",2.36312174797058,-7.455223136478,9
"224","Avery Johnson","Kansas State","SR",4.98651960492134,18.584792688489,16
"225","Ayden Pereira","Georgia State","BR",0.680678129196167,14.9866978327433,3
"226","Ayden Pereira","Georgia State","DR",0.830980777740479,54.6482354402542,1
"227","Ayden Pereira","Georgia State","SC",-2.57133078575134,-60.5871498584747,2
"228","Ayden Pereira","Georgia State","SL",-0.315998494625092,-9.19058695435524,1
"229","Ayden Pereira","Georgia State","SR",2.3936505317688,25.7343987623851,3
"230","B.Lowry","Western Michigan","BL",-1.93417549133301,12.0262265205383,1
"231","Bart Edmiston","Wyoming","SR",3.05190968513489,35.6996595859528,1
"232","Baylor Hayes","Tulsa","BC",-1.65909767150879,10.4514241218567,1
